word,pos
meeting,NOUN
hold,VERB
office,NOUN
start,VERB
present,ADJ
follow,VERB
president,NOUN
respectively,ADV
economist,NOUN
director,NOUN
mse,VERB
applause,NOUN
thank,VERB
try,VERB
later,ADV
sure,ADJ
item,NOUN
agenda,NOUN
basically,ADV
turn,VERB
fit,ADJ
laughter,NOUN
right,ADJ
let,VERB
open,VERB
floor,NOUN
nomination,NOUN
day,NOUN
happen,VERB
presume,VERB
elect,VERB
serve,VERB
remainder,NOUN
today,NOUN
election,NOUN
successor,NOUN
regularly,ADV
schedule,VERB
second,ADJ
fine,ADJ
discussion,NOUN
objection,NOUN
hear,VERB
unanimous,ADJ
congratulation,NOUN
democracy,NOUN
quickly,ADV
plan,VERB
new,ADJ
far,ADV
conduct,VERB
notation,NOUN
vote,NOUN
swearing,NOUN
need,VERB
suggest,VERB
swear,VERB
continue,VERB
staff,NOUN
swing,NOUN
actually,ADV
document,NOUN
read,VERB
unanimously,ADV
designate,VERB
recent,ADJ
executive,ADJ
order,NOUN
fomc,NOUN
require,VERB
appoint,VERB
consensus,NOUN
candidate,NOUN
appear,VERB
accordingly,ADV
mandatory,ADJ
authority,NOUN
subdelegate,VERB
duty,NOUN
appropriate,ADJ
stipulate,VERB
addition,NOUN
word,NOUN
legally,ADV
expunge,VERB
record,NOUN
propose,VERB
revision,NOUN
information,NOUN
reflect,NOUN
incorporation,NOUN
rule,NOUN
access,NOUN
confidential,ADJ
noncitizen,NOUN
minor,ADJ
adjustment,NOUN
align,VERB
program,NOUN
clause,NOUN
foreign,ADJ
currency,NOUN
authorization,NOUN
statement,NOUN
power,NOUN
exception,NOUN
inadvertently,ADV
trim,VERB
year,NOUN
rewriting,NOUN
like,VERB
selection,NOUN
execute,VERB
transaction,NOUN
note,NOUN
odd,NOUN
favorite,NOUN
assume,VERB
effectively,ADV
implement,VERB
incumbent,NOUN
presumption,NOUN
acceptable,ADJ
operation,NOUN
domestic,ADJ
recommend,VERB
approve,VERB
amendment,NOUN
directive,NOUN
procedural,ADJ
instruction,NOUN
memo,NOUN
circulate,VERB
small,ADJ
housekeeping,NOUN
language,NOUN
relate,VERB
reverse,VERB
repos,NOUN
bring,VERB
alignment,NOUN
purely,ADV
housekeep,VERB
express,VERB
intention,NOUN
uphold,VERB
tradition,NOUN
voting,NOUN
remain,VERB
favor,NOUN
lack,VERB
time,NOUN
respectfully,ADV
predecessor,NOUN
register,VERB
similar,ADJ
dissent,NOUN
ago,ADV
familiar,ADJ
reasoning,NOUN
case,NOUN
simple,ADJ
sterilize,VERB
intervention,NOUN
possibly,ADV
fleetingly,ADV
effective,ADJ
signal,NOUN
regard,VERB
future,ADJ
monetary,ADJ
policy,NOUN
extent,NOUN
provide,VERB
risk,VERB
confuse,VERB
public,NOUN
threaten,VERB
compromise,VERB
independence,NOUN
support,NOUN
lasting,ADJ
effect,NOUN
perception,NOUN
competence,NOUN
outcome,NOUN
desirable,ADJ
decline,VERB
issue,NOUN
course,NOUN
market,NOUN
preoccupy,VERB
set,NOUN
question,NOUN
occupy,VERB
participant,NOUN
long,ADV
tighten,VERB
cycle,NOUN
shape,NOUN
yield,NOUN
curve,NOUN
tell,VERB
sign,NOUN
slowdown,NOUN
inflation,NOUN
pressure,NOUN
increase,VERB
likely,ADJ
ebb,VERB
panel,NOUN
page,NOUN
graph,VERB
month,NOUN
deposit,NOUN
rate,NOUN
black,ADJ
forward,ADV
red,NOUN
begin,VERB
anticipate,VERB
end,NOUN
cash,NOUN
converge,VERB
week,NOUN
essentially,ADV
trading,NOUN
allow,VERB
term,NOUN
premium,NOUN
face,NOUN
value,NOUN
modest,ADJ
tightening,NOUN
probability,NOUN
ease,NOUN
bearish,ADJ
interest,NOUN
economy,NOUN
point,NOUN
datum,NOUN
hint,VERB
softness,NOUN
housing,NOUN
bleak,ADJ
view,NOUN
lift,NOUN
weak,ADJ
forecast,VERB
fourth,ADJ
quarter,NOUN
report,NOUN
quick,ADJ
swift,ADJ
reversal,NOUN
easing,NOUN
counter,ADJ
inflationary,ADJ
forestall,VERB
early,ADJ
usher,ADJ
ironically,ADV
comfort,NOUN
price,NOUN
compression,NOUN
short,ADJ
visible,ADJ
maturity,NOUN
middle,ADJ
target,NOUN
feed,VERB
fund,NOUN
green,NOUN
slowly,ADV
grind,VERB
upward,ADV
past,ADJ
percent,NOUN
balance,NOUN
come,VERB
discount,VERB
rise,VERB
mixed,ADJ
difficult,ADJ
drive,VERB
trader,NOUN
talk,VERB
loom,VERB
supply,NOUN
fiscal,ADJ
yesterday,NOUN
announce,VERB
somewhat,ADV
high,ADJ
expect,VERB
borrowing,NOUN
twoyear,NOUN
auction,NOUN
low,ADJ
level,NOUN
participation,NOUN
indirect,ADJ
bidder,NOUN
material,NOUN
use,VERB
append,VERB
transcript,NOUN
appendix,NOUN
demand,NOUN
wane,VERB
finally,ADV
prospect,NOUN
cost,NOUN
finance,VERB
position,NOUN
convergence,NOUN
summer,NOUN
chatter,NOUN
inversion,NOUN
flare,VERB
anew,ADV
line,NOUN
spread,NOUN
bill,NOUN
blue,ADJ
monthly,ADJ
average,NOUN
data,NOUN
gray,ADJ
area,NOUN
denote,ADJ
recession,NOUN
look,VERB
chart,NOUN
easy,ADJ
flattening,NOUN
receive,VERB
attention,NOUN
decade,NOUN
tend,VERB
